2025-06-08 06:16:10,967 | INFO | genai | GenAI RAG System is starting...
2025-06-08 06:16:22,311 | INFO | genai | Cache hit
2025-06-08 06:16:43,359 | INFO | genai | Token-split into 25 chunks.
2025-06-08 06:16:43,363 | INFO | genai | Total chunks created: 25
2025-06-08 06:16:43,379 | INFO | genai | Added 25 chunks. Total in index: 25
2025-06-08 06:17:03,892 | INFO | genai | Cache hit
2025-06-08 06:25:42,645 | INFO | genai | GenAI RAG System is starting...
2025-06-08 13:07:29,376 | INFO | genai | GenAI RAG System is starting...
2025-06-08 13:08:44,756 | INFO | genai | Token-split into 51 chunks.
2025-06-08 13:08:44,757 | INFO | genai | Total chunks created: 51
2025-06-08 13:08:46,058 | INFO | genai | Added 51 chunks. Total in index: 51
2025-06-08 13:09:25,575 | INFO | genai | VectorDB hit
2025-06-08 13:09:50,748 | INFO | genai | VectorDB hit
2025-06-12 02:09:21,208 | INFO | genai | GenAI RAG System is starting...
2025-06-12 02:13:12,596 | INFO | genai | Token-split into 25 chunks.
2025-06-12 02:13:12,598 | INFO | genai | Total chunks created: 25
2025-06-12 02:13:13,562 | INFO | genai | Added 25 chunks. Total in index: 25
2025-06-12 02:14:12,472 | INFO | genai | VectorDB hit
2025-06-12 02:15:10,125 | INFO | genai | VectorDB hit
2025-06-12 02:16:08,173 | INFO | genai | VectorDB hit
2025-06-12 02:19:47,780 | INFO | genai | VectorDB hit
2025-06-12 02:20:57,255 | INFO | genai | VectorDB hit
2025-06-12 02:30:51,263 | INFO | genai | Cache hit
2025-06-14 16:22:21,326 | INFO | genai | GenAI RAG System is starting...
2025-06-14 16:23:09,594 | INFO | genai | Token-split into 5 chunks.
2025-06-14 16:28:46,395 | INFO | genai | GenAI RAG System is starting...
2025-06-14 16:29:28,070 | INFO | genai | GenAI RAG System is starting...
2025-06-14 16:29:42,826 | INFO | genai | Token-split into 5 chunks.
2025-06-14 16:29:43,935 | INFO | genai | Added 5 chunks. Total in index: 5
2025-06-14 16:29:43,940 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:29:44,702 | INFO | genai | Added 3 chunks. Total in index: 8
2025-06-14 16:29:44,704 | INFO | genai | Token-split into 4 chunks.
2025-06-14 16:29:45,283 | INFO | genai | Added 4 chunks. Total in index: 12
2025-06-14 16:29:45,285 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:29:45,607 | INFO | genai | Added 3 chunks. Total in index: 15
2025-06-14 16:34:53,842 | INFO | genai | GenAI RAG System is starting...
2025-06-14 16:35:14,155 | INFO | genai | Token-split into 5 chunks.
2025-06-14 16:35:14,162 | INFO | genai | Added 5 chunks. Total in index: 5
2025-06-14 16:35:14,164 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:35:14,167 | INFO | genai | Added 3 chunks. Total in index: 8
2025-06-14 16:35:14,168 | INFO | genai | Token-split into 4 chunks.
2025-06-14 16:35:14,171 | INFO | genai | Added 4 chunks. Total in index: 12
2025-06-14 16:35:14,172 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:35:14,175 | INFO | genai | Added 3 chunks. Total in index: 15
2025-06-14 16:38:42,407 | INFO | genai | GenAI RAG System is starting...
2025-06-14 16:38:57,155 | INFO | genai | Token-split into 5 chunks.
2025-06-14 16:38:57,162 | INFO | genai | Added 5 chunks. Total in index: 5
2025-06-14 16:38:57,164 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:38:57,166 | INFO | genai | Added 3 chunks. Total in index: 8
2025-06-14 16:38:57,168 | INFO | genai | Token-split into 4 chunks.
2025-06-14 16:38:57,172 | INFO | genai | Added 4 chunks. Total in index: 12
2025-06-14 16:38:57,174 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:38:57,179 | INFO | genai | Added 3 chunks. Total in index: 15
2025-06-14 16:47:48,746 | INFO | genai | GenAI RAG System is starting...
2025-06-14 16:48:03,888 | INFO | genai | Token-split into 5 chunks.
2025-06-14 16:48:03,895 | INFO | genai | Added 5 chunks. Total in index: 5
2025-06-14 16:48:03,897 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:48:03,900 | INFO | genai | Added 3 chunks. Total in index: 8
2025-06-14 16:48:03,901 | INFO | genai | Token-split into 4 chunks.
2025-06-14 16:48:03,904 | INFO | genai | Added 4 chunks. Total in index: 12
2025-06-14 16:48:03,905 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:48:03,907 | INFO | genai | Added 3 chunks. Total in index: 15
2025-06-14 16:51:35,798 | INFO | genai | GenAI RAG System is starting...
2025-06-14 16:53:11,625 | INFO | genai | Token-split into 5 chunks.
2025-06-14 16:53:11,632 | INFO | genai | Added 5 chunks. Total in index: 5
2025-06-14 16:53:11,636 | INFO | genai | Token-split into 3 chunks.
2025-06-14 16:53:11,640 | INFO | genai | Added 3 chunks. Total in index: 8
2025-06-14 16:53:11,642 | INFO | genai | Token-split into 4 chunks.
2025-06-14 16:53:11,648 | INFO | genai | Added 4 chunks. Total in index: 12
2025-06-14 16:53:11,650 | INFO | genai | Token-split into 3 chunks.
